編號,案類,發生日期,發生時段,發生地點
260,機車竊盜,1080425,06~08,臺北市文山區萬興里009鄰指南路2段61~90號
261,機車竊盜,1080428,12~14,臺北市萬華區中華路2段606巷(人行道)
262,機車竊盜,1080429,00~02,臺北市萬華區和平西路3段331~360號
263,機車竊盜,1080502,10~12,臺北市萬華區桂林路91~120號
264,機車竊盜,1080505,16~18,臺北市北投區開明里復興一路31~60號
265,機車竊盜,1080526,04~06,臺北市南港區新光里忠孝東路7段265巷(口)
266,機車竊盜,1080526,18~20,臺北市信義區三張里松仁路202巷1~30號
267,機車竊盜,1080529,14~16,臺北市北投區林泉里溫泉路121~150號
268,機車竊盜,1080530,20~22,臺北市士林區福佳里美崙街86巷1~30號
269,機車竊盜,1080530,22~24,臺北市士林區福佳里文昌路91~120號
270,機車竊盜,1080531,06~08,臺北市大同區重慶北路2段97巷31~60號
271,機車竊盜,1080601,18~20,臺北市士林區福德路1~30號
272,機車竊盜,1080606,18~20,臺北市大同區民生西路301~330號
273,機車竊盜,1080609,12~14,臺北市北投區吉利里石牌路1段39巷151~180號
274,機車竊盜,1080610,22~24,臺北市信義區景聯里吳興街31~60號
275,機車竊盜,1080611,12~14,臺北市士林區葫蘆里中正路631~660號
276,機車竊盜,1080612,22~24,臺北市南港區南港里興中路61~90號
277,機車竊盜,1080613,06~08,臺北市信義區五全里永吉路278巷58弄1~30號
278,機車竊盜,1080616,02~04,臺北市萬華區和平西路3段331~360號
279,機車竊盜,1080616,02~04,臺北市信義區黎順里崇德街31~60號
280,機車竊盜,1080616,06~08,臺北市大同區太原路61~90號
281,機車竊盜,1080617,02~04,臺北市大同區延平北路2段61巷1~30號
282,機車竊盜,1080618,00~02,臺北市大同區鄭州路121~150號
283,機車竊盜,1080618,02~04,臺北市大同區承德路3段85巷
284,機車竊盜,1080618,10~12,臺北市士林區葫蘆里中正路631~660號
285,機車竊盜,1080618,10~12,臺北市文山區萬興里015鄰指南路2段45巷8弄1~30號
286,機車竊盜,1080619,18~20,臺北市內湖區民權東路6段180巷77弄1~30號
287,機車竊盜,1080621,14~16,臺北市北投區文林路181~210號
288,機車竊盜,1080621,22~24,臺北市南港區舊莊里舊莊街1段181~210號
289,機車竊盜,1080622,04~06,臺北市萬華區廣州街211~240號
290,機車竊盜,1080622,16~18,臺北市內湖區東湖路113巷49弄121~150號
291,機車竊盜,1080625,22~24,臺北市大同區民權西路91~120號
292,機車竊盜,1080626,02~04,臺北市中正區廈安里中華路2段121~150號
293,機車竊盜,1080628,20~22,臺北市士林區葫蘆里中正路635巷1~30號
294,機車竊盜,1080703,20~22,臺北市大同區民族西路252巷(大同公園旁機車停車格)
295,機車竊盜,1080705,20~22,臺北市文山區興光里興隆路3段151~180號
296,機車竊盜,1080710,00~02,臺北市內湖區康寧路3段189巷31~60號
297,機車竊盜,1080710,14~16,臺北市中正區中山南路1~30號
298,機車竊盜,1080711,04~06,臺北市中山區中山區林森北路與民權東路口(西北角)
299,機車竊盜,1080711,16~18,臺北市士林區福林里中山北路5段190巷
300,機車竊盜,1080714,00~02,臺北市士林區仁勇里大北路31~60號
301,機車竊盜,1080716,04~06,臺北市信義區松光里忠孝東路5段492巷
302,機車竊盜,1080716,12~14,臺北市士林區福順里延平北路5段121~150號
303,機車竊盜,1080716,14~16,臺北市士林區舊佳里前街21巷
304,機車竊盜,1080716,14~16,臺北市南港區鴻福里玉成街201巷2弄1~30號
305,機車竊盜,1080716,22~24,臺北市士林區新光醫院路
306,機車竊盜,1080717,10~12,臺北市文山區興家里興隆路3段241~270號
307,機車竊盜,1080718,00~02,臺北市士林區通河東街1段200巷
308,機車竊盜,1080720,06~08,臺北市中山區錦州街4巷內
309,機車竊盜,1080720,16~18,臺北市中山區敬業四路
310,機車竊盜,1080725,04~06,臺北市大安區黎元里安居街61~90號
311,機車竊盜,1080726,00~02,臺北市信義區黎平里和平東路3段391巷8弄31~60號
312,機車竊盜,1080727,08~10,臺北市南港區成福里成福路171巷40弄1~30號
313,機車竊盜,1080727,12~14,臺北市中正區忠勤里西藏路1~30號
314,機車竊盜,1080730,08~10,臺北市大同區南京西路18巷1~30號
315,機車竊盜,1080801,18~20,臺北市士林區三玉里忠誠路2段21巷45弄1~30號
316,機車竊盜,1080803,00~02,臺北市信義區黎平里富陽街55巷1~30號
317,機車竊盜,1080803,02~04,臺北市萬華區昆明街31~60號
318,機車竊盜,1080805,18~20,臺北市南港區中南里忠孝東路7段415巷(內)
319,機車竊盜,1080808,08~10,臺北市內湖區康樂街72巷17弄31~60號
320,機車竊盜,1080808,22~24,臺北市內湖區成功路4段331~360號
321,機車竊盜,1080809,16~18,臺北市中山區中山區民生西路3巷內(馬偕醫院停車場處附
322,機車竊盜,1080809,16~18,臺北市萬華區國興路1巷1~30號
323,機車竊盜,1080810,06~08,臺北市文山區興業里辛亥路5段31~60號
324,機車竊盜,1080810,10~12,臺北市北投區關渡里知行路361~390號
325,機車竊盜,1080810,20~22,臺北市大安區信義路4段186巷
326,機車竊盜,1080811,00~02,臺北市信義區虎林街242巷1~30號
327,機車竊盜,1080811,16~18,臺北市中山區五股區工商路1~30號
328,機車竊盜,1080812,20~22,臺北市大同區承德路1段與太原路115巷口
329,機車竊盜,1080813,02~04,臺北市信義區松隆路1~30號
330,機車竊盜,1080813,02~04,臺北市信義區中坡南路162巷1~30號
331,機車竊盜,1080813,02~04,臺北市信義區福德街31~60號
332,機車竊盜,1080813,02~04,臺北市信義區松隆路1~30號
333,機車竊盜,1080813,12~14,臺北市信義區五全里永吉路278巷57弄1~30號
334,機車竊盜,1080813,18~20,臺北市中正區中山北路1段
335,機車竊盜,1080815,16~18,臺北市萬華區西園路2段241~270號
336,機車竊盜,1080816,02~04,臺北市大同區民樂街121~150號
337,機車竊盜,1080817,12~14,臺北市大同區南京西路167巷1~30號
338,機車竊盜,1080822,16~18,臺北市士林區百齡里福港街259巷13弄1~30號
339,機車竊盜,1080822,18~20,臺北市內湖區康寧路3段189巷93弄1~30號
340,機車竊盜,1080823,14~16,臺北市北投區裕民里8鄰東華街1段418巷1~30號
341,機車竊盜,1080823,22~24,臺北市士林區義信里大東路1~30號
342,機車竊盜,1080824,08~10,臺北市中山區松江路204巷1~30號
343,機車竊盜,1080824,08~10,臺北市萬華區萬大路571~600號
344,機車竊盜,1080824,18~20,臺北市南港區合成里忠孝東路6段271~300號
345,機車竊盜,1080826,00~02,臺北市北投區大度路1段151~180號
346,機車竊盜,1080826,04~06,臺北市萬華區成都路1~30號
347,機車竊盜,1080828,16~18,臺北市南港區南港里南港路1段277巷
348,機車竊盜,1080829,22~24,臺北市信義區松山路301~330號
349,機車竊盜,1080830,04~06,臺北市中正區幸市里新生南路1段31~60號
350,機車竊盜,1080831,06~08,臺北市文山區興得里辛亥路5段1~30號
351,機車竊盜,1080902,12~14,臺北市中正區東門里金山南路1段121~150號
352,機車竊盜,1080903,20~22,臺北市大安區華聲里光復南路200巷1~30號
353,機車竊盜,1080908,14~16,臺北市文山區木柵里019鄰秀明路1段185巷34弄1~30號
354,機車竊盜,1080908,16~18,臺北市萬華區和平西路3段1~30號
355,機車竊盜,1080908,20~22,臺北市大同區民權西路211~240號
356,機車竊盜,1080917,16~18,臺北市北投區一德里中央北路4段(與學園路口)
357,機車竊盜,1080921,08~10,臺北市萬華區萬大路481~510號
358,機車竊盜,1080924,10~12,臺北市中正區南福里羅斯福路2段31~60號
359,機車竊盜,1080925,04~06,臺北市北投區裕民里懷德街31~60號
360,機車竊盜,1080926,22~24,臺北市中山區鄧公路31巷1~30號
361,機車竊盜,1080929,02~04,臺北市信義區和平東路3段571~600號
362,機車竊盜,1081001,22~24,臺北市萬華區(西園路與廣州街口)
363,機車竊盜,1081002,18~20,臺北市北投區關渡里知行路225巷1~30號
364,機車竊盜,1081005,08~10,臺北市士林區中正路635巷
365,機車竊盜,1081006,16~18,臺北市中正區博愛路1~30號
366,機車竊盜,1081009,02~04,臺北市萬華區(洛陽停車場環河南路一段出口旁人行道上)
367,機車竊盜,1081009,12~14,臺北市文山區羅斯福路5段218巷1~30號
368,機車竊盜,1081010,08~10,臺北市文山區萬年里公館街31~60號
369,機車竊盜,1081012,08~10,臺北市中山區林森北路271~300號
370,機車竊盜,1081019,02~04,臺北市中正區建國里博愛路160巷
371,機車竊盜,1081023,22~24,臺北市士林區福佳里文昌路91~120號
